INFO 2023-12-03 15:37:53,211 main Démarrage de l'application
INFO 2023-12-03 15:38:45,116 user_management Tentative de connexion pour l'email : ges1@epic-events.com
INFO 2023-12-03 15:38:45,492 user_management Utilisateur ges1@epic-events.com authentifié avec succès
INFO 2023-12-03 15:39:00,580 user_management Affichage de la liste des utilisateurs
DEBUG 2023-12-03 15:41:58,494 connectionpool Starting new HTTPS connection (1): o4506331927609344.ingest.sentry.io:443
DEBUG 2023-12-03 15:41:59,400 connectionpool https://o4506331927609344.ingest.sentry.io:443 "POST /api/4506331936587776/envelope/ HTTP/1.1" 200 0
INFO 2023-12-03 15:42:04,240 main Démarrage de l'application
INFO 2023-12-03 15:42:16,932 user_management Tentative de connexion pour l'email : ges1@epic-events.com
INFO 2023-12-03 15:42:17,307 user_management Utilisateur ges1@epic-events.com authentifié avec succès
INFO 2023-12-03 15:46:29,864 user_management Affichage de la liste des utilisateurs
ERROR 2023-12-03 18:04:33,204 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,227 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,230 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,233 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,236 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,239 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,243 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,246 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,249 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,252 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,255 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,259 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,262 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,265 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,268 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,272 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
ERROR 2023-12-03 18:04:33,275 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
DEBUG 2023-12-03 18:04:33,279 connectionpool Starting new HTTPS connection (1): o4506331927609344.ingest.sentry.io:443
ERROR 2023-12-03 18:04:33,279 user_management Erreur de validation lors de la création de l'utilisateur : Format d'email invalide.
